word,phonetic,meaning,sentence,add_time,master,wrong_count
One,/wʌn/,一,One apple,2026/4/26 11:42,0.0,1.0
Two,/tuː/,二,Two apples,2026/4/26 11:43,0.0,0.0
Three,/θriː/,三,Three apples,2026/4/26 11:43,0.0,0.0
Four,/fɔː/,四,Four bananas,2026/4/26 11:44,0.0,0.0
baby,,,,2026-04-26 18:08,0.0,0.0
feet,,,,,,
find,,,,,,
I,,,,,,
little,,,,,,
see,,,,,,
two,,,,,,
you,,,,,,
am,,,,,,
at,,,,,,
cow,,,,,,
farm,,,,,,
here,,,,,,
horse,,,,,,
new,,,,,,
pig,,,,,,
soon,,,,,,
too,,,,,,
will,,,,,,
brown,,,,,,
do,,,,,,
like,,,,,,
ride,,,,,,
sun,,,,,,
tree,,,,,,
under,,,,,,
what,,,,,,
ball,,,,,,
blue,,,,,,
box,,,,,,
car,,,,,,
for,,,,,,
is,,,,,,
my,,,,,,
red,,,,,,
where,,,,,,
yellow,,,,,,
game,,,,,,
jump,,,,,,
pig,,,,,,
play,,,,,,
rabbit,,,,,,
run,,,,,,
said,,,,,,
to,,,,,,
we,,,,,,
and,,,,,,
boat,,,,,,
cake,,,,,,
cat,,,,,,
funny,,,,,,
it,,,,,,
make,,,,,,
one,,,,,,
three,,,,,,
away,,,,,,
big,,,,,,
bird,,,,,,
come,,,,,,
dog,,,,,,
down,,,,,,
go,,,,,,
not,,,,,,
tree,,,,,,
all,,,,,,
ate,,,,,,
eat,,,,,,
good,,,,,,
have,,,,,,
milk,,,,,,
must,,,,,,
want,,,,,,
box,,,,,,
came,,,,,,
did,,,,,,
get,,,,,,
into,,,,,,
letter,,,,,,
there,,,,,,
this,,,,,,
A,,,,,,
a,,,,,,
